Year,ALSI,Return
2005-01-01,773.72,0.010408097
2005-02-01,815.31,0.053753296
2005-03-01,833.58,0.022408654
2005-04-01,859.42,0.030998824
2005-05-01,955.24,0.111493798
2005-06-01,"1,026.09",0.074169842
2005-07-01,"1,072.18",0.044918087
2005-08-01,"1,234.66",0.151541719
2005-09-01,"1,285.51",0.041185428
2005-10-01,"1,253.08",-0.025227342
2005-11-01,"1,252.83",-0.000199508
2005-12-01,"1,240.22",-0.010065212
2006-01-01,"1,249.02",0.007095515
2006-02-01,"1,350.90",0.081567949
2006-03-01,"1,374.13",0.017195943
2006-04-01,"1,380.47",0.004613828
2006-05-01,"1,373.02",-0.005396713
2006-06-01,"1,478.46",0.07679422
2006-07-01,"1,482.87",0.002982833
2006-08-01,"1,540.59",0.038924518
2006-09-01,"1,592.68",0.033811721
2006-10-01,"1,664.33",0.044987066
2006-11-01,"1,765.22",0.060618988
2006-12-01,"1,837.61",0.041009053
2007-01-01,"2,114.83",0.150858996
2007-02-01,"2,097.31",-0.008284354
2007-03-01,"2,077.50",-0.009445432
2007-04-01,"2,321.74",0.11756438
2007-05-01,"2,506.79",0.079703154
2007-06-01,"3,001.54",0.197363959
2007-07-01,"3,064.58",0.021002552
2007-08-01,"3,080.91",0.005328626
2007-09-01,"3,262.21",0.05884625
2007-10-01,"3,445.57",0.056207295
2007-11-01,"3,539.44",0.027243678
2007-12-01,"3,533.52",-0.001672581
2008-01-01,"2,505.88",-0.290826145
2008-02-01,"4,312.93",0.721123917
2008-03-01,"4,440.46",0.029569226
2008-04-01,"4,000.16",-0.099156394
2008-05-01,"4,062.00",0.015459382
2008-06-01,"3,915.40",-0.036090596
2008-07-01,"3,900.59",-0.0037825
2008-08-01,"3,683.56",-0.055640301
2008-09-01,"3,620.70",-0.017065013
2008-10-01,"3,345.05",-0.076131687
2008-11-01,"2,797.40",-0.163719526
2008-12-01,"2,505.88",-0.104211053
2009-01-01,"2,420.15",-0.034211534
2009-02-01,"2,381.53",-0.015957689
2009-03-01,"2,182.50",-0.083572325
2009-04-01,"2,143.37",-0.017928981
2009-05-01,"2,498.32",0.165603699
2009-06-01,"2,744.57",0.098566237
2009-07-01,"2,833.47",0.032391231
2009-08-01,"2,618.51",-0.075864576
2009-09-01,"2,807.26",0.072082978
2009-10-01,"2,669.18",-0.049186751
2009-11-01,"2,657.62",-0.004330918
2009-12-01,"2,794.89",0.051651478
2010-01-01,"2,638.76",-0.055862664
2010-02-01,"2,628.22",-0.0039943
2010-03-01,"2,887.51",0.098656125
2010-04-01,"2,907.73",0.007002573
2010-05-01,"2,823.80",-0.028864441
2010-06-01,"3,017.85",0.068719456
2010-07-01,"2,934.45",-0.027635568
2010-08-01,"2,912.01",-0.007647089
2010-09-01,"3,118.49",0.07090635
2010-10-01,"3,124.23",0.001840634
2010-11-01,"3,303.40",0.057348531
2010-12-01,"3,303.92",0.000157414
2011-01-01,"3,404.08",0.030315504
2011-02-01,"3,702.63",0.087703579
2011-03-01,"3,677.81",-0.006703343
2011-04-01,"3,935.60",0.070093344
2011-05-01,"4,084.66",0.037874784
2011-06-01,"3,918.66",-0.040639857
2011-07-01,"4,044.39",0.032084947
2011-08-01,"3,766.40",-0.068734716
2011-09-01,"3,823.12",0.015059473
2011-10-01,"3,742.00",-0.021218272
2011-11-01,"3,762.48",0.005473009
2011-12-01,"4,040.35",0.073852884
2012-01-01,"3,714.61",-0.080621728
2012-02-01,"3,875.63",0.043347754
2012-03-01,"3,925.56",0.012883067
2012-04-01,"3,921.22",-0.001105575
2012-05-01,"3,857.27",-0.0163087
2012-06-01,"3,876.42",0.004964651
2012-07-01,"3,829.33",-0.012147806
2012-08-01,"3,732.54",-0.025275962
2012-09-01,"3,708.09",-0.006550499
2012-10-01,"3,669.51",-0.010404278
2012-11-01,"3,609.79",-0.016274652
2012-12-01,"3,714.61",0.0290377
2013-01-01,"3,649.99",-0.017396173
2013-02-01,"3,936.56",0.078512544
2013-03-01,"4,165.87",0.058251367
2013-04-01,"4,277.10",0.026700305
2013-05-01,"4,420.56",0.033541418
2013-06-01,"4,568.06",0.033366813
2013-07-01,"4,750.20",0.039872506
2013-08-01,"4,772.55",0.004705065
2013-09-01,"4,796.00",0.004913516
2013-10-01,"5,003.38",0.0432402
2013-11-01,"5,100.24",0.019358913
2013-12-01,"5,300.10",0.039186391
2014-01-01,"5,395.32",0.017965699
2014-02-01,"5,297.22",-0.018182425
2014-03-01,"5,814.49",0.097649333
2014-04-01,"5,985.35",0.029385208
2014-05-01,"6,027.98",0.007122391
2014-06-01,"6,111.15",0.013797325
2014-07-01,"6,134.17",0.003766885
2014-08-01,"6,208.60",0.012133671
2014-09-01,"6,220.90",0.001981123
2014-10-01,"6,170.77",-0.00805832
2014-11-01,"6,166.79",-0.000644976
2014-12-01,"6,160.66",-0.000994034
